Regiao,UF,Populacao
Norte,RO,1.787.279
Norte,ac,816.687
Norte,AM,4.001.667
Norte,RM,514.229
Norte,PA,8.272.724
Norte,AP,782.295
Norte,TO,1.532.902
Nordeste,MA,6.954.036
Nordeste,PI,3.212.180
Nordeste,CE,8.963.663
Nordeste,RN,3.474.998
Nordeste,PB,3.999.415
Nordeste,PE,9.410.336
Nordeste,AL,3.358.963
Nordeste,SE,2.265.779
Nordeste,BA,15.276.566
Sudeste,MG,20.997.560
Sudeste,ES,3.973.697
Sudeste,RJ,16.635.996
Sudeste,SP,44.749.699
Sul,PR,11.242.720
Sul,SC,6.910.553
Sul,RS,11.286.500
Centro-oeste,MS,2.682.386
Centro-oeste,MT,3.305.531
Centro-oeste,GO,6.695.855
Centro-oeste,DF,2.977.216
